Nub,Genotype_Original,Genotype,Frag_GE,Species,Tank,Treatment,Timepoint,TreatTime,GE_sample,Surface_Area_cm2,red_chan_avg_t0,red_chan_avg_t1,red_chan_avg_t3,red_chan_avg_t4,pam_avg_t0,pam_avg_t1,pam_avg_t2,pam_avg_t3,pam_avg_t4,bw_avg_t0,bw_avg_t1,bw_avg_t2,bw_avg_t3,bw_avg_t4,GE_RawReads,GE_TrimmedReads,GE_HoloMappingEfficiency(%),GE_HolobiontMapCounts,GE_HostCounts,GE_HostMapping Efficiency(%),GE_SymbiontCounts,GE_SymbiontMappingEfficiency(%),GE_HostGenes,GE_SymbiontGenes,gross_photo_t3,gross_photo_t4,net_photo_t3,net_photo_t4,resp_t3,resp_t4,PR_t3,PR_t4
KB7.1,KB,KB,KB7-1,O. franksi,6C,Control,Postheat,Control_Postheat,,7.89625042,51.3,113.5,61.3,68.6,0.55966667,0.558,0.576,0.58366667,0.56566667,6.97,7.09333333,7.18,7.2,7.21666667,,,,,,,,,,,,,,,,,,
KB7.2,KB,KB,KB7-2,O. franksi,8B,DTV,Preheat,DTV_Preheat,,4.29429787,51.2,88.3,81.5,,0.55366667,0.61866667,0.59333333,0.58766667,,8.55666667,8.68,8.8,8.86,,,,,,,,,,,,9.95503731,,6.49212547,,3.46291184,,2.874759096,
KE13.1,KE,KE,KE13-1,O. franksi,6B,Control,Preheat,Control_Preheat,Preheat,5.68911647,41.2,64.1,80.7,,0.572,0.58366667,0.568,0.55133333,,7.41,7.50666667,7.59,7.62,,5744076,2066313,85.1,1757901,932055,45.1071546,825846,39.9671299,15227,1785,,,,,,,,
KE13.2,KE,KE,KE13-2,O. franksi,8A,DTV,Postheat,DTV_Postheat,,5.00394681,39.4,64,48.3,60.9,0.58166667,0.596,0.56633333,0.57666667,0.51366667,7.94,8.06,8.12333333,8.03333333,7.92,,,,,,,,,,,,,,,,,,
KE14.1,KE,KE,KE14-1,O. franksi,6C,Control,Postheat,Control_Postheat,Postheat,4.52482922,51.6,72.9,67.7,68.3,0.47133333,0.55066667,0.525,0.503,0.468,7.34666667,7.46,7.51666667,7.56,7.56,5694559,1481334,79.8,1181484,1035177,69.8814042,146307,9.87670573,14821,1284,,,,,,,,
KE14.2,KE,KE,KE14-2,O. franksi,8B,DTV,Preheat,DTV_Preheat,,5.47323977,47.6,66.5,56.7,,0.55566667,0.60066667,0.552,0.54,,8.62,8.73,8.81,8.86,,,,,,,,,,,,7.28984169,,4.82548059,,2.46436111,,2.958106123,
KE22.1,KE,KE,KE22-1,O. franksi,6C,Control,Postheat,Control_Postheat,,5.31224001,39.3,75.3,33.5,59.6,0.49066667,0.53366667,0.50433333,0.502,0.45633333,6.73,6.82,6.97,7.01333333,7.03,,,,,,,,,,,,,,,,,,
KE22.2,KE,KE,KE22-2,O. franksi,8A,DTV,Preheat,DTV_Preheat,,4.9563817,55.2,48.8,39.5,,0.54333333,0.59533333,0.55633333,0.53233333,,10.45,10.54,10.6333333,10.6766667,,,,,,,,,,,,9.1988687,,5.29729528,,3.90157343,,2.35773307,
KE23.1,KE,KE,KE23-1,O. franksi,6B,Control,Preheat,Control_Preheat,,5.89585767,45.4,86.8,70.3,,0.55266667,0.60533333,0.553,0.536,,8.44,8.59,8.69,8.73,,,,,,,,,,,,9.81108365,,7.25175104,,2.55933261,,3.833453929,
KE23.2,KE,KE,KE23-2,O. franksi,8C,DTV,Postheat,DTV_Postheat,,4.19203312,65.9,82.6,81.5,87.2,0.59766667,0.60266667,0.60233333,0.56933333,0.521,8.05,8.13,8.21666667,8.24666667,8.2,,,,,,,,,,,,6.0288494,,2.13760567,,3.89124373,,1.549337389
KE31.1,KE,KE,KE31-1,O. franksi,6A,Control,Preheat,Control_Preheat,,7.80226029,39.3,45.7,52.6,,0.54766667,0.58266667,0.55466667,0.52366667,,8.59,8.75,8.86,8.91,,,,,,,,,,,,5.68715723,,2.78929675,,2.89786048,,1.962536592,
KE31.2,KE,KE,KE31-2,O. franksi,8C,DTV,Postheat,DTV_Postheat,Postheat,8.06629254,46.3,48,43.6,65.5,0.55833333,0.57633333,0.57766667,0.54666667,0.51166667,7.55,7.73,7.9,7.94666667,7.89,8650934,1559284,81.1,1264383,1158441,74.2931371,105942,6.79427224,15139,1026,,,,,,,,
KE9.1,KE,KE,KE9-1,O. franksi,6A,Control,Postheat,Control_Postheat,,3.76447804,37,61.3,46.6,48,0.511,0.53,0.53366667,0.51,0.477,7.64666667,7.74666667,7.82333333,7.86,7.88,,,,,,,,,,,,5.93438083,,1.64238441,,4.29199641,,1.382662114
KE9.2,KE,KE,KE9-2,O. franksi,8B,DTV,Preheat,DTV_Preheat,Preheat,6.03423186,48.7,76,33.6,,0.53533333,0.618,0.564,0.53,,8.1,8.24,8.3,8.44,,6020069,1888099,85.2,1609007,1038914,55.0243393,570093,30.1940206,15320,2049,,,,,,,,
KF12.1,KF,KF,KF12-1,O. franksi,6B,Control,Postheat,Control_Postheat,,13.4967608,35.4,64.9,50.6,58.9,0.53333333,0.56766667,0.56466667,0.541,0.53566667,8.09,8.17333333,8.58666667,8.70333333,8.70666667,,,,,,,,,,,,,,,,,,
KF12.2,KF,KF,KF12-2,O. franksi,8B,DTV,Preheat,DTV_Preheat,,13.0091398,35.3,51.1,56.2,,0.567,0.606,0.57566667,0.563,,8.58,8.74,9.15,9.01,,,,,,,,,,,,4.56045928,,2.66704816,,1.89341112,,2.408594326,
KF16.1,KF,KF,KF16-1,O. franksi,6A,Control,Preheat,Control_Preheat,,12.3714605,41.7,54,65.4,,0.53966667,0.556,0.56066667,0.55466667,,7.8,8.16666667,8.36,8.45,,,,,,,,,,,,5.12095343,,3.24064571,,1.88030772,,2.72346562,
KF16.2,KF,KF,KF16-2,O. franksi,8B,DTV,Postheat,DTV_Postheat,,12.5418624,43.9,64.9,39.2,80.9,0.53566667,0.62233333,0.57466667,0.558,0.549,9.43,9.69,9.94,10.04,10.05,,,,,,,,,,,,2.73150976,,0.05934791,,2.67216184,,1.022209703
KF19.1,KF,KF,KF19-1,O. franksi,6A,Control,Postheat,Control_Postheat,Postheat,12.8902289,39.1,45.1,57.1,59.2,0.56166667,0.586,0.581,0.56866667,0.568,8,8.21,8.32333333,8.58,8.6,6272629,1674313,74.7,1249925,1123245,67.0869186,126680,7.5660883,14935,1022,,,,,,,,
KF19.2,KF,KF,KF19-2,O. franksi,8A,DTV,Postheat,DTV_Postheat,Postheat,12.250978,40.2,44.3,50.2,51.6,0.56633333,0.599,0.587,0.6,0.565,9.32666667,9.51333333,9.67,9.78,9.8,8807209,2200829,77.8,1712453,1176579,53.4607187,535874,24.3487341,15102,1928,,,,,,,,
